# author: sean@Seans-MacBook-Pro.local
# date: 2025/03/10 12:30:11 UTC
# version: obztak v0+unknown
HEX,RA,DEC,FILTER,EXPTIME,TILING,PRIORITY,DATE,AIRMASS,SLEW,MOONANGLE,HOURANGLE,PROGRAM
45,245.3940,20.8580,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
45,245.3940,20.8580,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
45,245.3940,20.8580,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
45,245.3940,20.8580,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
46,243.9690,19.8470,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
46,243.9690,19.8470,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
46,243.9690,19.8470,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
46,243.9690,19.8470,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
48,241.1600,17.7560,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
48,241.1600,17.7560,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
48,241.1600,17.7560,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
48,241.1600,17.7560,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
57,246.3950,23.4760,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
57,246.3950,23.4760,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
57,246.3950,23.4760,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
57,246.3950,23.4760,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
58,244.9380,22.4720,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
58,244.9380,22.4720,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
58,244.9380,22.4720,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
58,244.9380,22.4720,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
59,243.4980,21.4470,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
59,243.4980,21.4470,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
59,243.4980,21.4470,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
59,243.4980,21.4470,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
60,242.0740,20.3990,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
